Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,02-Mar-2020,28-May-2020,29718.95,29800.00,28820.00,29121.30,29119.30,29121.30,2020.00,11865.70,37940.00,35660.00,28868.40
BANKNIFTY,03-Mar-2020,28-May-2020,29319.95,29500.00,28990.25,29364.70,29479.00,29364.70,1477.00,8647.28,48020.00,10080.00,29177.05
BANKNIFTY,04-Mar-2020,28-May-2020,29354.75,29354.75,28374.25,28914.35,28950.70,28914.35,536.00,3095.86,49740.00,1720.00,28653.70
BANKNIFTY,05-Mar-2020,28-May-2020,29194.75,29369.00,28777.00,29018.65,28984.10,29018.65,330.00,1919.40,49700.00,-40.00,28815.35
BANKNIFTY,06-Mar-2020,28-May-2020,27924.35,28500.00,27505.70,27976.20,27960.00,27976.20,588.00,3277.28,53280.00,3580.00,27801.45
BANKNIFTY,09-Mar-2020,28-May-2020,27178.45,27366.55,26140.70,26690.70,26703.15,26690.70,2036.00,10942.98,54240.00,960.00,26462.60
BANKNIFTY,11-Mar-2020,28-May-2020,26690.70,27000.00,26470.00,26691.55,26692.35,26691.55,277.00,1481.45,54320.00,80.00,26487.80
BANKNIFTY,12-Mar-2020,28-May-2020,25367.40,25500.00,23676.60,23979.15,24328.00,23979.15,786.00,3877.88,55760.00,1440.00,23971.15
BANKNIFTY,13-Mar-2020,28-May-2020,22831.90,25798.55,21585.10,25347.80,25432.65,25347.80,676.00,3270.24,54660.00,-1100.00,25166.45
BANKNIFTY,16-Mar-2020,28-May-2020,24900.00,24900.00,23000.00,23156.40,23100.00,23156.40,546.00,2585.55,56160.00,1500.00,23101.15
BANKNIFTY,17-Mar-2020,28-May-2020,23200.00,23500.00,22003.10,22163.50,22088.00,22163.50,578.00,2641.62,58200.00,2040.00,22155.15
BANKNIFTY,18-Mar-2020,28-May-2020,22445.80,22500.00,20266.45,20631.20,20655.85,20631.20,1019.00,4304.42,59740.00,1540.00,20580.20
BANKNIFTY,19-Mar-2020,28-May-2020,19168.45,21000.00,18874.60,20015.65,20018.65,20015.65,1196.00,4738.73,60420.00,680.00,20083.50
BANKNIFTY,20-Mar-2020,28-May-2020,19853.15,20975.00,19320.40,20367.00,20350.05,20367.00,1728.00,6974.19,76220.00,15800.00,20317.60
BANKNIFTY,23-Mar-2020,28-May-2020,18500.00,19547.50,16810.55,17012.45,17072.40,17012.45,3806.00,13317.30,82860.00,6640.00,16917.65
BANKNIFTY,24-Mar-2020,28-May-2020,17888.15,17950.00,16131.65,17046.05,17261.00,17046.05,2047.00,6933.74,81160.00,-1700.00,17107.30
BANKNIFTY,25-Mar-2020,28-May-2020,16963.20,18715.00,16710.20,18479.20,18485.00,18479.20,2043.00,7196.20,82740.00,1580.00,18481.05
BANKNIFTY,26-Mar-2020,28-May-2020,18661.35,20286.40,18300.00,19399.60,19456.65,19399.60,3055.00,11983.95,99880.00,17140.00,19613.90
BANKNIFTY,27-Mar-2020,28-May-2020,20639.05,21339.00,19424.85,19837.15,19850.00,19837.15,11589.00,47242.78,114340.00,14460.00,19969.00
BANKNIFTY,30-Mar-2020,28-May-2020,18883.80,19870.60,18750.00,18847.20,18820.00,18847.20,10352.00,39847.40,152980.00,38640.00,18782.40
BANKNIFTY,31-Mar-2020,28-May-2020,19296.80,19550.00,18875.00,19211.45,19059.95,19211.45,5610.00,21525.00,152200.00,-780.00,19144.00
BANKNIFTY,01-Apr-2020,28-May-2020,18700.45,18948.05,18020.00,18222.30,18179.95,18222.30,10273.00,37808.39,59360.00,-92840.00,18208.35
BANKNIFTY,03-Apr-2020,28-May-2020,18089.35,18089.35,17130.05,17222.85,17251.80,17222.85,4957.00,17370.73,66100.00,6740.00,17249.30
BANKNIFTY,07-Apr-2020,28-May-2020,18250.30,19275.15,17976.80,19211.15,19227.75,19211.15,6363.00,23546.73,69040.00,2940.00,19062.50
BANKNIFTY,08-Apr-2020,28-May-2020,18869.00,20613.25,18532.25,18931.45,18935.05,18931.45,8916.00,34413.70,69480.00,440.00,18946.45
BANKNIFTY,09-Apr-2020,28-May-2020,19428.60,19918.95,19113.85,19801.10,19760.00,19801.10,7850.00,30720.71,81520.00,12040.00,19913.60
BANKNIFTY,13-Apr-2020,28-May-2020,19608.65,19855.70,19225.00,19539.05,19575.00,19539.05,5150.00,20100.87,80180.00,-1340.00,19488.00
BANKNIFTY,15-Apr-2020,28-May-2020,19875.55,20246.00,18719.65,19032.80,19073.00,19032.80,6309.00,24757.54,87660.00,7480.00,19057.05
BANKNIFTY,16-Apr-2020,28-May-2020,18890.25,19561.20,18729.35,19449.20,19526.00,19449.20,7753.00,29812.62,109400.00,21740.00,19400.00
BANKNIFTY,17-Apr-2020,28-May-2020,20325.45,20939.00,19650.00,20741.75,20848.00,20741.75,10795.00,43567.29,129720.00,20320.00,20681.45
BANKNIFTY,20-Apr-2020,28-May-2020,21010.90,21080.00,20390.05,20490.80,20475.00,20490.80,8463.00,35091.25,134820.00,5100.00,20522.65
BANKNIFTY,21-Apr-2020,28-May-2020,19884.45,19884.45,19200.00,19340.85,19254.25,19340.85,8149.00,31774.13,143360.00,8540.00,19409.35
BANKNIFTY,22-Apr-2020,28-May-2020,19239.65,19849.95,19020.00,19692.15,19749.60,19692.15,10365.00,40271.49,154020.00,10660.00,19701.85
BANKNIFTY,23-Apr-2020,28-May-2020,19797.70,20297.20,19552.85,20179.10,20116.30,20179.10,13520.00,54157.80,177540.00,23520.00,20267.95
BANKNIFTY,24-Apr-2020,28-May-2020,20120.00,20120.00,19393.95,19524.75,19590.00,19524.75,17865.00,70055.26,211620.00,34080.00,19586.65
BANKNIFTY,27-Apr-2020,28-May-2020,19800.00,20217.70,19750.90,20075.00,20090.00,20075.00,21937.00,88043.79,346800.00,135180.00,20081.15
BANKNIFTY,28-Apr-2020,28-May-2020,20397.95,20730.30,20224.00,20645.35,20720.00,20645.35,39618.00,162022.22,558800.00,212000.00,20671.10
BANKNIFTY,29-Apr-2020,28-May-2020,20515.05,21341.90,20382.90,21095.70,20990.05,21095.70,58418.00,244066.39,728120.00,169320.00,21090.20
BANKNIFTY,30-Apr-2020,28-May-2020,21510.20,21932.15,21287.15,21431.30,21400.00,21431.30,135312.00,585757.81,980000.00,251880.00,21534.50
BANKNIFTY,04-May-2020,28-May-2020,20600.00,20600.00,19505.00,19632.75,19678.00,19632.75,267321.00,1062298.20,1286600.00,306600.00,19743.75
BANKNIFTY,05-May-2020,28-May-2020,19906.05,20098.00,19164.35,19246.35,19295.00,19246.35,357340.00,1406665.89,1382100.00,95500.00,19271.75
BANKNIFTY,06-May-2020,28-May-2020,19219.20,19819.00,18900.00,19671.95,19772.60,19671.95,429263.00,1672467.79,1476240.00,94140.00,19694.55
