Date,Price,Open,High,Low,Vol.,Change %
01-04-2024,"22,604.85",22455.00,"22,783.35","21,777.65",6.28B,1.24%
01-03-2024,"22,326.90",22048.30,"22,526.60","21,710.20",6.74B,1.57%
01-02-2024,"21,982.80",21780.65,"22,297.50","21,530.20",6.73B,1.18%
01-01-2024,"21,725.70",21727.75,"22,124.15","21,137.20",6.82B,-0.03%
01-12-2023,"21,731.40",20194.10,"21,801.45","20,183.70",6.12B,7.94%
01-11-2023,"20,133.15",19064.05,"20,158.70","18,973.70",4.42B,5.52%
01-10-2023,"19,079.60",19622.40,"19,849.75","18,837.85",4.25B,-2.84%
01-09-2023,"19,638.30",19258.15,"20,222.45","19,255.70",5.67B,2.00%
01-08-2023,"19,253.80",19784.00,"19,795.60","19,223.65",6.25B,-2.53%
01-07-2023,"19,753.80",19246.50,"19,991.85","19,234.40",5.80B,2.94%
01-06-2023,"19,189.05",18579.40,"19,201.70","18,464.55",5.14B,3.53%
01-05-2023,"18,534.40",18124.80,"18,662.45","18,042.40",5.74B,2.60%
01-04-2023,"18,065.00",17427.95,"18,089.15","17,312.75",4.46B,4.06%
