CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,536,-,-,-,"3,922.15",38.50,525,"3,972.25","4,179.40","1,000","20,150.00",175,4.95,5.20,"1,800",-0.85,4.95,30.66,544,209,"1,001",
,"2,131",-13,21,-,"3,940.00",39.10,525,"3,940.25","4,087.65",900,"20,200.00","1,275",4.90,5.70,900,-0.15,5.15,30.45,"1,595",185,"7,644",
,218,-,-,-,"3,537.70",-0.30,525,"3,635.25","4,076.85","1,000","20,250.00",150,5.05,5.95,125,-1.80,5.05,30.01,10,10,90,
,307,20,20,-,"3,830.00",-128.85,525,"3,840.60","4,008.40",525,"20,300.00",800,4.70,8.30,175,-0.50,5.60,30.04,66,-7,275,
,206,-,-,-,"3,720.00",-,525,"3,763.60","3,981.05","1,000","20,350.00",800,4.10,-,-,-,7.00,-,-,-,78,
,265,-,-,-,"3,649.60",-,525,"3,724.65","3,930.00","1,000","20,400.00",50,4.70,6.90,50,-0.15,5.85,29.48,108,-,217,
,163,-,-,-,"3,380.15",1.95,525,"3,448.00","3,871.20",525,"20,450.00",800,4.30,12.80,900,-,7.40,-,-,-,155,
,"12,767",60,541,-,"3,679.35",78.05,25,"3,682.00","3,700.85",25,"20,500.00",100,5.75,6.25,700,-0.60,5.80,28.72,"2,530",307,"18,689",
,49,-,-,-,"3,470.00",-,525,"3,354.20","3,763.85",525,"20,550.00",50,5.35,11.00,600,-2.70,5.80,28.35,44,13,57,
,352,4,4,-,"3,495.00",-71.35,525,"3,440.85","3,673.30",525,"20,600.00",50,5.85,8.75,25,1.00,8.75,29.58,25,-13,229,
,114,-,-,-,"3,400.00",-,525,"3,260.00","3,658.15","1,000","20,650.00",50,5.15,-,-,-,9.55,-,-,-,99,
,392,-,-,-,"3,361.20",-6.40,525,"3,425.90","3,582.25","1,000","20,700.00",75,6.25,8.55,250,-1.65,7.05,27.98,118,-57,363,
,168,-,-,-,"3,083.70",1.90,525,"3,166.20","3,559.55",525,"20,750.00",50,5.25,11.50,50,-,10.80,-,-,-,163,
,337,-,-,-,"3,314.95",28.30,525,"3,118.55","3,481.25",25,"20,800.00",125,7.00,8.90,200,0.50,8.65,28.02,"4,103","1,609","11,477",
,171,-,-,-,"2,981.25",2.65,525,"3,072.00","3,454.50",525,"20,850.00",250,6.40,8.00,250,-0.50,7.25,26.97,308,-102,130,
,310,-,-,-,"3,254.20",-,525,"3,237.25","3,366.70",25,"20,900.00",100,7.00,8.00,"1,125",-0.35,7.15,26.56,"1,796",250,"4,946",
,163,-,-,-,"2,888.60",2.95,525,"2,978.00","3,351.55",525,"20,950.00",300,6.55,8.65,250,-1.65,7.50,26.36,139,-8,281,
,"25,581",146,384,-,"3,187.60",71.50,50,"3,184.25","3,204.00",150,"21,000.00",750,8.50,8.80,575,-0.40,8.50,26.45,"11,878",358,"74,373",
,222,-,-,-,"2,646.05",-,525,"2,883.90","3,269.35","1,000","21,050.00",250,6.80,9.20,200,-2.10,7.65,25.69,243,29,274,
,215,-,-,-,"2,887.00",-,25,"3,071.85","3,132.50",25,"21,100.00",500,7.55,8.45,100,-1.10,8.15,25.55,131,-81,730,
,200,-,4,-,"2,957.70",152.70,525,"2,993.25","3,136.05",525,"21,150.00",600,6.30,14.40,25,0.75,9.35,-,-,-,264,
,304,2,2,-,"2,965.00",-5.00,25,"2,976.05","3,040.05",25,"21,200.00",550,7.35,9.90,550,-1.00,8.20,24.83,"2,045",-21,"2,323",
,139,-,4,-,"2,858.55",272.95,525,"2,892.05","3,036.95",525,"21,250.00","3,300",7.80,10.60,50,-1.90,7.80,24.28,22,2,269,
,227,-,-,-,"2,865.50",-,525,"2,648.80","2,970.50",525,"21,300.00",600,7.75,9.50,400,-1.15,8.40,24.17,"2,050",-467,"1,977",
,119,-,-,-,"2,476.20",-1.95,525,"2,602.10","2,919.40",525,"21,350.00",250,7.90,9.00,125,-1.30,8.80,23.96,221,-42,495,
,170,-,-,-,"2,789.70",-,525,"2,756.25","2,902.00",525,"21,400.00",400,8.05,14.80,25,-1.20,9.10,23.70,"2,163",-31,"2,242",
,147,-,-,-,"2,230.25",-,525,"2,508.00","2,811.70",25,"21,450.00",800,7.40,12.65,25,-,11.10,-,-,-,185,
,"3,496",69,109,-,"2,698.00",87.35,25,"2,688.15","2,719.20",25,"21,500.00",200,9.80,10.25,50,-1.05,9.80,23.21,"18,770","-2,534","51,940",
,147,-,-,-,"2,110.90",-,525,"2,413.75","2,753.35",525,"21,550.00",100,8.70,11.00,25,-2.65,10.60,23.10,77,16,356,
,135,-,-,-,"2,465.00",-7.60,525,"2,308.60","2,665.10",25,"21,600.00",450,9.90,11.00,25,-1.35,10.45,22.67,"3,270",-306,"2,608",
,117,-,-,-,"2,339.25",-,525,"2,319.90","2,649.15",525,"21,650.00",600,8.00,11.10,100,0.30,12.60,-,-,-,146,
,275,-,-,-,"2,495.10",-,525,"2,458.60","2,570.05",25,"21,700.00",25,10.50,22.05,"1,775",-1.20,11.60,22.27,"1,991",-141,"3,187",
,99,-,-,-,"2,105.80",3.60,525,"2,225.90","2,512.15",25,"21,750.00",100,9.15,13.70,100,1.00,13.85,22.53,9,-6,226,
,178,-,4,-,"2,410.00",12.80,25,"2,384.20","2,440.05",25,"21,800.00",150,11.00,14.00,25,-2.15,11.25,21.40,"4,118",-966,"8,085",
,65,-,-,-,"2,225.00",-,525,"2,131.95","2,462.75","1,000","21,850.00",100,9.85,15.95,100,-1.75,11.65,21.13,11,-1,185,
,189,-,-,-,"2,293.60",-,525,"2,265.50","2,343.00",25,"21,900.00",25,11.00,12.50,"4,225",-3.05,12.50,20.99,"4,729",312,"4,418",
,120,-,-,-,"2,045.00",-,525,"2,037.80","2,329.30","1,000","21,950.00",50,13.10,14.90,400,-3.75,13.80,20.94,247,39,778,
,"26,419",-107,694,-,"2,207.00",66.25,25,"2,200.50","2,225.90",150,"22,000.00",50,14.40,14.50,600,-3.90,14.50,20.72,"34,126",-742,"96,804",
,141,-,-,-,"2,223.20",-,525,"1,944.15","2,232.05","1,000","22,050.00","1,050",13.00,16.20,"1,325",-4.55,14.75,20.39,282,94,213,
,601,-14,62,-,"2,115.00",35.00,25,"2,097.20","2,141.80",25,"22,100.00","7,150",14.80,18.50,"1,050",-4.65,14.80,20.00,"5,634",-148,"6,114",
,65,-,-,-,"2,013.85",78.10,525,"1,850.10","2,120.70",25,"22,150.00","1,050",14.25,20.80,"1,050",-4.80,15.85,19.84,621,19,716,
,434,3,11,-,"2,007.15",7.15,25,"1,998.45","2,034.50",25,"22,200.00","1,225",15.10,18.10,50,-5.70,16.80,19.65,"10,712",-53,"10,094",
,74,-,-,-,"1,906.40",-,525,"1,755.85","2,015.70",25,"22,250.00",250,16.50,18.10,50,-5.75,17.70,19.43,756,31,642,
,868,-,3,-,"1,899.00",-26.00,50,"1,900.05","1,938.50",25,"22,300.00",50,16.00,21.80,25,-6.80,18.10,19.10,"10,320",-519,"6,602",
,132,-,-,-,"1,705.00",-,525,"1,662.00","1,912.60",25,"22,350.00",550,15.70,21.75,50,-7.25,19.50,18.96,357,-39,277,
,914,-5,9,-,"1,793.95",91.05,25,"1,804.95","1,840.00",50,"22,400.00",50,20.35,24.00,250,-8.05,20.35,18.70,"9,031",-513,"7,301",
,59,-,-,-,"1,800.00",-,25,"1,751.85","1,796.80",25,"22,450.00",250,20.45,23.85,250,-7.95,22.15,18.59,261,-79,530,
,"13,964",-145,526,-,"1,723.00",71.35,375,"1,717.65","1,725.05",25,"22,500.00",350,22.60,22.85,50,-9.20,22.85,18.28,"44,617","5,917","77,761",
,110,-,-,-,"1,532.20",-,25,"1,650.05","1,693.00",25,"22,550.00",550,22.05,25.00,375,-9.45,25.00,18.19,720,2,"1,322",
,"1,296",-2,5,-,"1,586.80",36.15,25,"1,604.50","1,645.00",25,"22,600.00",25,25.00,27.95,25,-10.95,26.60,17.99,"8,885","-1,224","9,514",
,76,-,-,-,"1,472.65",-,25,"1,553.85","1,609.65",25,"22,650.00","1,800",24.75,29.90,550,-11.40,28.75,17.86,"2,401",34,940,
,"2,070",-15,46,-,"1,524.70",57.60,900,"1,509.40","1,556.35",25,"22,700.00",550,30.15,33.05,25,-11.95,31.20,17.74,"20,256","-1,383","19,464",
,232,-,-,-,"1,350.00",-6.70,25,"1,461.10","1,512.85",25,"22,750.00",100,32.50,39.30,"1,050",-13.20,32.95,17.51,"1,207",-133,"1,094",
,"3,041",-17,111,-,"1,434.45",64.30,25,"1,422.50","1,455.65",50,"22,800.00","1,200",35.00,36.50,900,-15.40,35.00,17.30,"38,475","-4,888","28,058",
,119,-,1,-,"1,379.00",-48.20,25,"1,363.25","1,409.35",50,"22,850.00",600,30.50,38.00,500,-15.00,37.80,17.16,"1,413",-264,"1,391",
,"1,696",18,77,-,"1,347.75",67.90,25,"1,334.00","1,361.95",50,"22,900.00",275,41.25,42.00,25,-15.50,41.15,17.05,"19,273","2,593","14,178",
,421,-,-,-,"1,290.40",-,25,"1,284.10","1,325.35",25,"22,950.00",275,43.65,54.70,"1,000",-16.90,43.65,16.83,"1,738",102,971,
,"51,444","-1,020","4,155",-,"1,252.50",67.40,100,"1,249.00","1,255.00",25,"23,000.00",250,48.25,48.50,75,-16.65,48.40,16.82,"85,366","7,953","1,54,331",
,288,-,-,-,"1,187.85",-,25,"1,191.80","1,228.45",25,"23,050.00",500,49.85,55.10,"1,625",-18.15,52.00,16.65,"1,359",183,987,
,"2,950",-26,133,-,"1,149.70",49.20,25,"1,152.85","1,174.35",25,"23,100.00",650,56.10,56.95,550,-18.85,56.10,16.50,"17,081",121,"12,902",
,200,2,6,-,"1,100.00",-26.00,25,"1,069.40","1,135.40",25,"23,150.00","1,800",45.50,62.00,25,-28.60,52.25,15.67,"1,395",110,"1,076",
,"4,029",6,263,-,"1,072.00",65.60,25,"1,066.00","1,080.00",50,"23,200.00",725,65.20,65.25,975,-26.10,61.00,16.21,"22,291","3,713","22,633",
,228,-3,10,-,"1,020.00",63.65,25,"1,014.45","1,041.05",75,"23,250.00",50,70.00,72.00,100,-22.45,71.10,16.12,"2,034",497,"2,070",
,"6,620",52,691,-,975.20,50.40,25,974.95,989.80,100,"23,300.00",50,76.00,77.50,300,-23.80,77.65,16.05,"30,873","1,853","28,235",
,245,-22,33,-,932.25,52.35,25,928.05,940.00,25,"23,350.00",25,81.00,85.00,25,-28.60,81.55,15.76,"3,365",798,"3,212",
,"9,272",-274,761,-,894.05,45.90,200,900.00,909.90,75,"23,400.00",475,89.65,91.00,475,-26.35,91.00,15.82,"24,042","-1,731","24,589",
,774,-11,42,7.17,850.00,50.85,25,848.15,869.25,50,"23,450.00",750,99.30,100.20,625,-28.10,99.30,15.75,"3,609",924,"3,308",
,"68,475","-1,638","9,596",8.64,810.90,46.00,25,810.90,820.00,50,"23,500.00",700,106.00,106.80,250,-29.10,108.00,15.56,"95,531","10,032","1,60,034",
,"2,117",-243,372,9.86,777.25,55.20,250,766.80,787.55,225,"23,550.00",50,115.00,119.00,25,-32.90,116.00,15.53,"2,924",747,"3,730",
,"30,856","-2,829","8,341",10.69,744.25,53.55,25,735.75,749.60,200,"23,600.00",25,127.20,128.30,525,-32.25,128.35,15.58,"28,053",702,"70,745",
,530,-55,233,10.57,700.50,48.60,25,685.40,733.70,50,"23,650.00",100,133.55,158.35,25,-35.65,135.75,15.33,"1,634",198,"1,518",
,"20,598","-1,229","4,173",11.00,666.35,52.40,25,652.40,666.30,975,"23,700.00",25,149.00,151.00,"1,100",-33.95,151.00,15.45,"20,235",-319,"42,265",
,"1,049",49,325,10.68,621.15,45.75,75,601.90,636.30,400,"23,750.00",25,160.00,185.00,50,-39.20,160.00,15.21,"2,147",264,"2,224",
,"33,521","-1,519","15,383",10.97,587.40,42.40,475,583.70,592.35,975,"23,800.00",150,175.00,175.35,25,-40.15,174.00,15.24,"31,772","2,037","68,352",
,"2,148",110,"1,436",10.92,548.95,43.70,225,541.60,550.00,25,"23,850.00",25,188.15,199.30,25,-38.35,189.80,15.19,"2,171",362,"2,735",
,"16,058",509,"11,435",11.05,515.25,43.65,25,513.60,515.95,100,"23,900.00",50,203.25,203.50,150,-42.10,203.50,15.07,"21,576","1,492","21,050",
,"1,621",214,"3,753",10.99,479.10,39.45,75,471.75,490.55,100,"23,950.00",25,216.05,222.00,200,-42.70,220.00,15.03,"6,026",197,"2,468",
,"1,25,840","2,847","89,829",10.99,445.50,35.75,400,445.00,447.10,125,"24,000.00",75,233.20,234.90,75,-43.75,234.90,14.88,"1,37,061","9,748","1,55,327",
,"1,839",91,"4,011",11.29,419.85,37.75,100,411.90,419.55,25,"24,050.00",25,254.00,258.95,500,-46.10,254.45,14.89,"4,157",115,"1,783",
,"21,193","1,735","41,338",11.23,387.50,35.35,300,383.25,387.45,25,"24,100.00",125,272.00,276.00,450,-45.75,276.00,14.94,"40,132","4,576","20,436",
,"3,175","1,421","8,280",11.29,359.40,33.70,25,353.00,360.00,75,"24,150.00",100,293.00,300.00,150,-50.25,293.00,14.75,"6,827",792,"2,551",
,"35,416","2,185","43,325",11.18,330.00,30.65,25,328.00,328.65,75,"24,200.00",425,313.00,317.35,400,-49.25,317.00,14.81,"36,152","3,729","34,094",
,"1,522",202,"2,026",11.16,301.55,27.65,"1,000",299.00,303.00,550,"24,250.00",250,332.40,344.45,50,-51.05,341.30,14.84,766,112,644,
,"19,974","5,930","25,962",11.17,278.00,26.80,325,275.60,278.40,75,"24,300.00",400,362.05,372.80,50,-56.60,365.00,14.80,"19,882","8,403","15,224",
,"1,520",178,"1,932",11.15,252.00,23.55,650,250.20,255.00,25,"24,350.00",75,381.60,395.95,50,-58.10,390.40,14.79,581,127,640,
,"19,893","1,098","20,724",11.33,233.95,24.85,400,228.25,234.00,25,"24,400.00",125,413.00,422.95,"1,525",-33.85,438.45,15.66,"4,426",497,"2,397",
,"1,724",361,"2,360",11.11,207.60,17.95,"1,050",198.50,214.65,"1,050","24,450.00",75,427.85,455.15,75,-56.05,446.00,14.83,295,95,552,
,"85,286","1,161","59,096",11.05,186.60,16.45,25,186.50,187.00,450,"24,500.00",25,470.05,475.00,850,-63.05,473.00,14.75,"18,099","1,595","21,098",
,"3,382",697,"2,646",11.14,170.35,17.50,425,167.30,171.00,25,"24,550.00",75,495.15,511.65,75,-61.45,508.25,14.97,145,4,333,
,"17,355",245,"17,738",10.94,148.20,12.40,25,148.95,150.20,25,"24,600.00",75,525.75,542.65,275,-69.65,536.20,14.85,"1,084",-20,813,
,"1,993",320,"1,846",11.01,134.75,14.45,25,120.00,135.05,475,"24,650.00",25,544.05,578.70,50,-62.35,581.45,15.42,5,-,168,
,"22,418","1,369","25,939",10.93,118.80,11.25,25,118.95,120.00,325,"24,700.00",225,593.65,611.95,275,-72.15,597.50,14.69,319,-3,390,
,"2,079",462,"2,485",10.94,105.70,9.50,25,73.00,109.50,200,"24,750.00",75,639.05,650.70,75,-6.90,661.00,16.01,9,-,42,
,"25,474","1,542","30,019",10.92,93.50,8.85,500,93.15,93.50,200,"24,800.00",75,665.10,682.00,25,-63.50,685.00,15.55,178,38,"1,943",
,"2,226",-486,"4,157",10.95,83.00,7.15,200,80.60,85.50,50,"24,850.00",25,688.60,857.85,525,-0.65,791.25,-,-,-,229,
,"11,632","2,943","22,748",10.92,72.70,6.80,550,71.55,72.70,350,"24,900.00",25,742.65,763.50,25,-72.95,763.30,15.88,149,-25,242,
,"1,818",337,"2,251",10.92,63.80,5.80,550,55.05,64.50,175,"24,950.00",25,761.65,808.00,25,-,840.85,-,-,-,202,
,"1,03,187","9,677","87,257",10.93,56.10,3.65,25,55.80,56.00,"1,475","25,000.00",75,833.05,844.00,200,-73.20,842.80,16.14,"5,613",664,"38,042",
,"2,249",420,"3,196",10.96,49.20,4.25,25,47.10,52.00,250,"25,050.00",75,862.35,893.25,25,62.75,944.10,19.30,2,-2,64,
,"14,545","4,817","28,296",10.83,41.05,1.85,25,40.75,42.45,25,"25,100.00",75,912.55,931.95,75,-28.45,931.55,16.78,21,9,42,
,"2,460",915,"5,087",10.96,37.00,2.55,150,34.65,38.00,100,"25,150.00",525,875.15,"1,109.70",525,10.25,"1,051.55",-,-,-,20,
,"8,677","2,024","22,294",10.85,30.75,0.90,500,29.80,31.00,25,"25,200.00",75,999.95,"1,019.35",25,-94.65,"1,013.00",16.92,9,6,193,
,"1,632",-107,"3,064",11.05,28.45,2.35,25,25.50,28.45,100,"25,250.00",525,"1,010.65","1,091.40",50,-373.95,"1,068.65",17.81,28,-5,20,
,"23,967","5,048","33,190",10.74,21.65,-0.70,250,21.65,22.30,375,"25,300.00",25,"1,084.30","1,112.25",25,-6.00,"1,120.00",18.45,14,2,71,
,369,369,837,10.88,19.50,-47.95,"1,050",15.15,37.00,100,"25,350.00",525,"1,040.90","1,305.40",525,-,-,-,-,-,-,
,"12,936","9,521","24,700",10.88,16.60,-0.70,25,15.25,16.85,50,"25,400.00",25,"1,175.90","1,221.05",50,-2.00,"1,204.00",18.60,8,6,16,
,811,8,998,11.18,16.05,0.65,250,12.25,18.25,75,"25,450.00",525,"1,142.25","1,401.90",525,-,-,-,-,-,-,
,"29,620","6,011","36,670",10.97,12.35,-0.90,150,12.35,13.40,550,"25,500.00",25,"1,280.55","1,290.00",25,-83.00,"1,286.00",18.51,"2,359","2,016","8,147",
,2,2,6,11.76,14.95,-38.15,800,8.50,18.85,500,"25,550.00",525,"1,267.75","1,506.20",525,-,"1,507.35",-,-,-,34,
,"2,975","2,975","6,588",11.29,10.30,-39.70,325,7.70,10.60,800,"25,600.00","1,075","1,328.00","1,424.40",450,-29.00,"1,371.00",18.48,15,15,40,
,868,89,478,11.31,8.75,-1.85,250,8.55,10.75,200,"25,650.00",525,"1,377.05","1,602.75",525,-,-,-,-,-,-,
,"1,007",244,"1,520",11.48,8.05,-1.35,125,8.10,10.95,250,"25,700.00",75,"1,467.80","1,526.30",450,"-1,231.70","1,478.00",19.96,3,3,3,
,81,81,226,12.36,10.50,-31.00,100,8.60,10.80,250,"25,750.00",525,"1,466.30","1,704.35",525,-,-,-,-,-,-,
,"7,050","2,785","8,280",12.07,7.80,-0.95,75,7.80,8.20,"1,425","25,800.00",200,"1,558.65","1,618.60",450,-,"1,600.00",-,-,-,34,
